optimizer,p,m,energy_Hc,success_prob,time_sec,trial
L-BFGS-B,1,2,0.05995685174387133,0.9443359375,0.18665361404418945,5
L-BFGS-B,2,2,9.703818304451772e-11,1.0,0.5794434547424316,5
L-BFGS-B,4,2,5.481434195431234e-10,1.0,0.35227203369140625,5
L-BFGS-B,8,2,1.6698329052822203e-08,1.0,0.7923669815063477,5
L-BFGS-B,16,2,2.2198059890232713e-08,1.0,2.338205099105835,5
L-BFGS-B,1,2,0.05995685174140761,0.9404296875,0.2226731777191162,6
L-BFGS-B,2,2,6.721706524714932e-11,1.0,0.6344845294952393,6
L-BFGS-B,4,2,2.0910138620600094e-09,1.0,0.43332719802856445,6
L-BFGS-B,8,2,3.204874476914199e-09,1.0,0.8033754825592041,6
L-BFGS-B,16,2,9.012285417941968e-09,1.0,2.7809956073760986,6
L-BFGS-B,1,2,0.028293229018114763,0.986328125,0.28069043159484863,7
L-BFGS-B,2,2,9.335643369468016e-12,1.0,0.9987866878509521,7
L-BFGS-B,4,2,1.7908505234309757e-09,1.0,0.3022141456604004,7
L-BFGS-B,8,2,2.2340718164315376e-10,1.0,0.9808008670806885,7
L-BFGS-B,16,2,2.9424351843942986e-09,1.0,1.8130271434783936,7
L-BFGS-B,1,2,1.9532375716835304e-11,1.0,0.18311452865600586,8
L-BFGS-B,2,2,7.143757807526185e-12,1.0,0.19211483001708984,8
L-BFGS-B,4,2,8.2124788219895e-09,1.0,0.2550327777862549,8
L-BFGS-B,8,2,1.5325560265289084e-11,1.0,0.8549182415008545,8
L-BFGS-B,16,2,2.7030137295103174e-09,1.0,2.3390443325042725,8
L-BFGS-B,1,2,0.05995685178237764,0.94921875,0.159592866897583,9
L-BFGS-B,2,2,3.9503574023047605e-11,1.0,0.5667471885681152,9
L-BFGS-B,4,2,1.431659617245895e-09,1.0,0.35476040840148926,9
L-BFGS-B,8,2,1.862677775910093e-09,1.0,0.8608293533325195,9
L-BFGS-B,16,2,6.226630239192232e-09,1.0,2.905041217803955,9
L-BFGS-B,1,2,7.889522368742519e-14,1.0,0.2256479263305664,10
